epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4920.74,0.75394,0.57963,1.00737,0.86644,0.625,0.70026,0.40254,1.647,1.98309,1.71,0.000231213,0.000231213,0.000231213
89,4958.73,0.73664,0.55954,1.00419,0.70676,0.71327,0.70434,0.41874,1.62225,1.95461,1.69783,0.00021471,0.00021471,0.00021471
90,5001.19,0.74231,0.56181,1.00805,0.68477,0.68337,0.7271,0.38292,1.6578,1.89926,1.73428,0.000198206,0.000198206,0.000198206
91,5039.27,0.72439,0.66545,0.99433,0.82258,0.65585,0.7228,0.39227,1.74748,1.89258,1.80054,0.000181703,0.000181703,0.000181703
92,5078.82,0.72189,0.59743,0.98272,0.83038,0.65625,0.68811,0.39284,1.73385,1.87078,1.81863,0.0001652,0.0001652,0.0001652
93,5118.9,0.68175,0.53889,0.96218,0.83968,0.65625,0.6552,0.43797,1.65833,1.8974,1.778,0.000148696,0.000148696,0.000148696
94,5154.78,0.68608,0.54037,0.95734,0.84192,0.65625,0.65329,0.43512,1.6129,1.8992,1.765,0.000132193,0.000132193,0.000132193
95,5209.61,0.66275,0.5189,0.93317,0.83858,0.65625,0.68608,0.42789,1.54309,1.84797,1.73032,0.00011569,0.00011569,0.00011569
96,5289.03,0.64115,0.51102,0.93744,0.67368,0.72184,0.69223,0.44837,1.49149,1.87176,1.70446,9.91865e-05,9.91865e-05,9.91865e-05
97,5369.12,0.64185,0.50864,0.9523,0.73215,0.71875,0.67919,0.43367,1.48097,1.87606,1.70935,8.26832e-05,8.26832e-05,8.26832e-05
98,5438.05,0.61825,0.47782,0.9348,0.72958,0.6875,0.67326,0.40503,1.50515,1.87131,1.72938,6.61799e-05,6.61799e-05,6.61799e-05
99,5474.34,0.61367,0.47311,0.93379,0.75538,0.6875,0.67709,0.39549,1.53757,1.87051,1.7573,4.96766e-05,4.96766e-05,4.96766e-05
100,5515.82,0.63209,0.48733,0.93367,0.75116,0.6875,0.67822,0.40685,1.53922,1.89439,1.74898,3.31733e-05,3.31733e-05,3.31733e-05
